ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2024-02-15,1499.9194987305373,1822.15721790454,2114.302419760539,1499.9194987305373,1499.9194987305373,473.724442996773,473.724442996773,473.724442996773,-100.17043951685655,-100.17043951685655,-100.17043951685655,573.8948825136296,573.8948825136296,573.8948825136296,0.0,0.0,0.0,1973.6439417273102,2002.0999755859375
2024-02-16,1510.6032303848947,1840.3221289523833,2141.1086843600283,1510.6032303848947,1510.6032303848947,474.7414466127413,474.7414466127413,474.7414466127413,-100.58092051865624,-100.58092051865624,-100.58092051865624,575.3223671313975,575.3223671313975,575.3223671313975,0.0,0.0,0.0,1985.344676997636,2011.5
2024-02-20,1553.3381570023244,1883.6523327913078,2189.130906847911,1553.3381570023244,1553.3381570023244,486.3250073090362,486.3250073090362,486.3250073090362,-100.03907316550628,-100.03907316550628,-100.03907316550628,586.3640804745424,586.3640804745424,586.3640804745424,0.0,0.0,0.0,2039.6631643113606,2027.5
2024-02-21,1564.0218886566813,1906.7982187220732,2209.6168563045644,1564.0218886566813,1564.0218886566813,497.7759595126033,497.7759595126033,497.7759595126033,-92.34954378091314,-92.34954378091314,-92.34954378091314,590.1255032935164,590.1255032935164,590.1255032935164,0.0,0.0,0.0,2061.7978481692844,2022.300048828125
2024-02-22,1574.7056203110387,1918.6657370331932,2220.781070456962,1574.7056203110387,1574.7056203110387,493.89007847743727,493.89007847743727,493.89007847743727,-100.1704395168237,-100.1704395168237,-100.1704395168237,594.060517994261,594.060517994261,594.060517994261,0.0,0.0,0.0,2068.595698788476,2019.699951171875
2024-02-23,1585.3893519653961,1924.847948163003,2257.0503571863665,1585.3893519653961,1585.3893519653961,497.4355305003416,497.4355305003416,497.4355305003416,-100.58092051817286,-100.58092051817286,-100.58092051817286,598.0164510185145,598.0164510185145,598.0164510185145,0.0,0.0,0.0,2082.8248824657376,2038.5999755859375
2024-02-26,1617.4405469284684,1979.5070342289139,2275.9396586499615,1617.4405469284684,1617.4405469284684,506.62282303537245,506.62282303537245,506.62282303537245,-101.64199718336985,-101.64199718336985,-101.64199718336985,608.2648202187423,608.2648202187423,608.2648202187423,0.0,0.0,0.0,2124.063369963841,2028.5
2024-02-27,1628.1242785828258,1991.6240115954765,2301.185133742209,1628.1242785828258,1628.1242785828258,510.481436503079,510.481436503079,510.481436503079,-100.03907316553628,-100.03907316553628,-100.03907316553628,610.5205096686153,610.5205096686153,610.5205096686153,0.0,0.0,0.0,2138.6057150859046,2034.0
2024-02-28,1638.8080102371832,2005.7884671224197,2322.0695991441094,1638.8080102371832,1638.8080102371832,519.5347908810963,519.5347908810963,519.5347908810963,-92.34954378091065,-92.34954378091065,-92.34954378091065,611.8843346620071,611.8843346620071,611.8843346620071,0.0,0.0,0.0,2158.3428011182796,2033.0
2024-02-29,1649.4917418915406,2005.5458840005867,2306.6095623865717,1649.4917418915406,1649.4917418915406,512.0092390832378,512.0092390832378,512.0092390832378,-100.17043951692612,-100.17043951692612,-100.17043951692612,612.1796786001639,612.1796786001639,612.1796786001639,0.0,0.0,0.0,2161.5009809747785,2045.699951171875
