ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2025-04-21,3327.452270427087,3264.6179635006333,3559.111813018731,3327.452270427087,3327.452270427087,75.35630092053972,75.35630092053972,75.35630092053972,-13.770204955993881,-13.770204955993881,-13.770204955993881,89.12650587653361,89.12650587653361,89.12650587653361,0.0,0.0,0.0,3402.8085713476266,3406.2000
2025-04-22,3331.352716762666,3247.340449276675,3548.4756994200284,3331.352716762666,3331.352716762666,62.69819078838833,62.69819078838833,62.69819078838833,-13.75223876873839,-13.75223876873839,-13.75223876873839,76.45042955712672,76.45042955712672,76.45042955712672,0.0,0.0,0.0,3394.0509075510545,3400.8000
2025-04-23,3335.2531630982458,3252.2112129507145,3535.729415512399,3335.2531630982458,3335.2531630982458,58.809088229372634,58.809088229372634,58.809088229372634,-3.080197151895936,-3.080197151895936,-3.080197151895936,61.88928538126858,61.88928538126858,61.88928538126858,0.0,0.0,0.0,3394.0622513276185,3276.3000
2025-04-24,3339.153609433825,3212.9847994321976,3517.009660839682,3339.153609433825,3339.153609433825,22.307423033269068,22.307423033269068,22.307423033269068,-23.50329397714999,-23.50329397714999,-23.50329397714999,45.810717010419054,45.810717010419054,45.810717010419054,0.0,0.0,0.0,3361.461032467094,3332.0000
2025-04-25,3343.0540557694044,3193.8774346636988,3499.718220576602,3343.0540557694044,3343.0540557694044,6.328304402635232,6.328304402635232,6.328304402635232,-22.276107390962114,-22.276107390962114,-22.276107390962114,28.604411793597343,28.604411793597343,28.604411793597343,0.0,0.0,0.0,3349.3823601720396,3282.3999
2025-04-28,3354.755394776142,3157.7933864780393,3468.5310437194867,3354.755394776142,3354.755394776142,-39.558596322936154,-39.558596322936154,-39.558596322936154,-13.770204956007534,-13.770204956007534,-13.770204956007534,-25.788391366928618,-25.788391366928618,-25.788391366928618,0.0,0.0,0.0,3315.196798453206,3332.5000
2025-04-29,3358.655841111722,3155.675705494207,3443.629213515415,3358.655841111722,3358.655841111722,-57.30911815191315,-57.30911815191315,-57.30911815191315,-13.752238768718362,-13.752238768718362,-13.752238768718362,-43.55687938319478,-43.55687938319478,-43.55687938319478,0.0,0.0,0.0,3301.346722959809,3318.8000
2025-04-30,3362.556287447301,3147.778252989559,3442.6150906552025,3362.556287447301,3362.556287447301,-63.637456809713086,-63.637456809713086,-63.637456809713086,-3.0801971519073095,-3.0801971519073095,-3.0801971519073095,-60.55725965780577,-60.55725965780577,-60.55725965780577,0.0,0.0,0.0,3298.918830637588,3305.0000
2025-05-01,3366.4567337828803,3117.0328634627535,3408.7884775862876,3366.4567337828803,3366.4567337828803,-99.99279603263435,-99.99279603263435,-99.99279603263435,-23.503293977170724,-23.503293977170724,-23.503293977170724,-76.48950205546362,-76.48950205546362,-76.48950205546362,0.0,0.0,0.0,3266.463937750246,3210.0000
2025-05-02,3370.35718015574,3107.6591131750497,3390.245374673938,3370.35718015574,3370.35718015574,-113.37414512011472,-113.37414512011472,-113.37414512011472,-22.276107390938325,-22.276107390938325,-22.276107390938325,-91.0980377291764,-91.0980377291764,-91.0980377291764,0.0,0.0,0.0,3256.983035035625,3231.8999
2025-05-05,3382.0585192743206,3097.4341291903825,3400.0915890760534,3382.0585192743206,3382.0585192743206,-138.95650853780424,-138.95650853780424,-138.95650853780424,-13.770204956038928,-13.770204956038928,-13.770204956038928,-125.1863035817653,-125.1863035817653,-125.1863035817653,0.0,0.0,0.0,3243.102010736516,3311.3000
2025-05-06,3385.9589656471803,3085.5955013888206,3387.840052706631,3385.9589656471803,3385.9589656471803,-146.72677763616053,-146.72677763616053,-146.72677763616053,-13.752238768698332,-13.752238768698332,-13.752238768698332,-132.9745388674622,-132.9745388674622,-132.9745388674622,0.0,0.0,0.0,3239.23218801102,3411.3999
2025-05-07,3389.8594120200405,3110.936821972223,3407.296807339363,3389.8594120200405,3389.8594120200405,-142.02658768444573,-142.02658768444573,-142.02658768444573,-3.080197151908626,-3.080197151908626,-3.080197151908626,-138.9463905325371,-138.9463905325371,-138.9463905325371,0.0,0.0,0.0,3247.832824335595,3381.3999
2025-05-08,3393.7598583929007,3065.9698306923237,3383.330598683337,3393.7598583929007,3393.7598583929007,-166.66469638501113,-166.66469638501113,-166.66469638501113,-23.50329397708173,-23.50329397708173,-23.50329397708173,-143.1614024079294,-143.1614024079294,-143.1614024079294,0.0,0.0,0.0,3227.0951620078895,3296.6001
2025-05-09,3397.660304765761,3078.577382311225,3372.245632138932,3397.660304765761,3397.660304765761,-168.00114533598915,-168.00114533598915,-168.00114533598915,-22.276107390914536,-22.276107390914536,-22.276107390914536,-145.7250379450746,-145.7250379450746,-145.7250379450746,0.0,0.0,0.0,3229.6591594297715,3335.3999
2025-05-12,3409.3616438843405,3102.2629466422295,3396.9150293392236,3409.3616438843405,3409.3616438843405,-158.89879509998207,-158.89879509998207,-158.89879509998207,-13.77020495607031,-13.77020495607031,-13.77020495607031,-145.12859014391177,-145.12859014391177,-145.12859014391177,0.0,0.0,0.0,3250.4628487843584,3220.0000
2025-05-13,3413.2620902572007,3110.570331987755,3397.0128099607346,3413.2620902572007,3413.2620902572007,-156.59986275481882,-156.59986275481882,-156.59986275481882,-13.752238768690933,-13.752238768690933,-13.752238768690933,-142.84762398612787,-142.84762398612787,-142.84762398612787,0.0,0.0,0.0,3256.662227502382,3240.3000
2025-05-14,3417.16253659015,3128.7856761811718,3420.211272125627,3417.16253659015,3417.16253659015,-142.9890290263865,-142.9890290263865,-142.9890290263865,-3.080197151914969,-3.080197151914969,-3.080197151914969,-139.90883187447153,-139.90883187447153,-139.90883187447153,0.0,0.0,0.0,3274.1735075637635,3181.3999
2025-05-15,3421.0629829230993,3114.1632908841275,3399.5895418983728,3421.0629829230993,3421.0629829230993,-160.05456541072712,-160.05456541072712,-160.05456541072712,-23.503293977098892,-23.503293977098892,-23.503293977098892,-136.55127143362824,-136.55127143362824,-136.55127143362824,0.0,0.0,0.0,3261.008417512372,3220.7000
2025-05-16,3424.963429256048,3115.5647707752896,3401.224224921464,3424.963429256048,3424.963429256048,-155.28520900850882,-155.28520900850882,-155.28520900850882,-22.27610739087928,-22.27610739087928,-22.27610739087928,-133.00910161762954,-133.00910161762954,-133.00910161762954,0.0,0.0,0.0,3269.6782202475392,3182.0000
2025-05-19,3436.664768254895,3146.4431698137455,3443.739076232494,3436.664768254895,3436.664768254895,-137.1653266900506,-137.1653266900506,-137.1653266900506,-13.770204955951058,-13.770204955951058,-13.770204955951058,-123.39512173409952,-123.39512173409952,-123.39512173409952,0.0,0.0,0.0,3299.4994415648443,3228.8999
2025-05-20,3440.565214587844,3161.1975475193185,3442.9007256436025,3440.565214587844,3440.565214587844,-134.87126977557844,-134.87126977557844,-134.87126977557844,-13.752238768752754,-13.752238768752754,-13.752238768752754,-121.11903100682567,-121.11903100682567,-121.11903100682567,0.0,0.0,0.0,3305.6939448122653,3280.3000
2025-05-21,3444.4656609207927,3176.1331547001478,3464.9048774994435,3444.4656609207927,3444.4656609207927,-122.6088714724471,-122.6088714724471,-122.6088714724471,-3.080197151916285,-3.080197151916285,-3.080197151916285,-119.52867432053083,-119.52867432053083,-119.52867432053083,0.0,0.0,0.0,3321.856789448346,3309.3000
2025-05-22,3448.366107253742,3165.753400143626,3455.9046254711516,3448.366107253742,3448.366107253742,-142.20925447682544,-142.20925447682544,-142.20925447682544,-23.503293977123203,-23.503293977123203,-23.503293977123203,-118.70596049970226,-118.70596049970226,-118.70596049970226,0.0,0.0,0.0,3306.156852776917,3292.3000
2025-05-23,3452.2665535866913,3153.7803713809863,3447.919839543921,3452.2665535866913,3452.2665535866913,-140.97291079502236,-140.97291079502236,-140.97291079502236,-22.27610739084402,-22.27610739084402,-22.27610739084402,-118.69680340417834,-118.69680340417834,-118.69680340417834,0.0,0.0,0.0,3311.293642791669,3363.6001
2025-05-27,3467.8683389779676,3180.3211338462847,3475.396563176971,3467.8683389779676,3467.8683389779676,-140.25365385080894,-140.25365385080894,-140.25365385080894,-13.752238768745356,-13.752238768745356,-13.752238768745356,-126.50141508206357,-126.50141508206357,-126.50141508206357,0.0,0.0,0.0,3327.6146851271587,3299.1001
2025-05-28,3471.768785325787,3177.222271664085,3484.7000719631505,3471.768785325787,3471.768785325787,-133.152126244637,-133.152126244637,-133.152126244637,-3.080197151922628,-3.080197151922628,-3.080197151922628,-130.07192909271438,-130.07192909271438,-130.07192909271438,0.0,0.0,0.0,3338.61665908115,3293.6001
2025-05-29,3475.669231673606,3168.6469928486795,3470.1838744640017,3475.669231673606,3475.669231673606,-157.5726334856109,-157.5726334856109,-157.5726334856109,-23.503293977140373,-23.503293977140373,-23.503293977140373,-134.06933950847053,-134.06933950847053,-134.06933950847053,0.0,0.0,0.0,3318.0965981879954,3317.1001
2025-05-30,3479.5696780214253,3179.3255994183214,3462.803606287419,3479.5696780214253,3479.5696780214253,-160.63146614979985,-160.63146614979985,-160.63146614979985,-22.276107390977092,-22.276107390977092,-22.276107390977092,-138.35535875882277,-138.35535875882277,-138.35535875882277,0.0,0.0,0.0,3318.9382118716253,3288.8999
2025-06-02,3491.271017064883,3171.3597428407065,3479.125821213113,3491.271017064883,3491.271017064883,-165.27052556515403,-165.27052556515403,-165.27052556515403,-13.770204956013844,-13.770204956013844,-13.770204956013844,-151.50032060914018,-151.50032060914018,-151.50032060914018,0.0,0.0,0.0,3326.000491499729,3370.6001
2025-06-03,3495.1714634127025,3170.1241870191902,3466.882118458005,3495.1714634127025,3495.1714634127025,-169.26972560037356,-169.26972560037356,-169.26972560037356,-13.752238768712685,-13.752238768712685,-13.752238768712685,-155.5174868316609,-155.5174868316609,-155.5174868316609,0.0,0.0,0.0,3325.901737812329,3350.2000
2025-06-04,3499.0719097605215,3181.618002462191,3490.8804723820235,3499.0719097605215,3499.0719097605215,-162.23294987285308,-162.23294987285308,-162.23294987285308,-3.080197151900336,-3.080197151900336,-3.080197151900336,-159.15275272095275,-159.15275272095275,-159.15275272095275,0.0,0.0,0.0,3336.8389598876684,3373.5000
2025-06-05,3502.97235610834,3153.1389872563254,3464.392605484243,3502.97235610834,3502.97235610834,-185.81816171730628,-185.81816171730628,-185.81816171730628,-23.503293977161107,-23.503293977161107,-23.503293977161107,-162.3148677401452,-162.3148677401452,-162.3148677401452,0.0,0.0,0.0,3317.154194391034,3350.7000
2025-06-06,3506.8728022070495,3168.532047679471,3465.4271107645645,3506.8728022070495,3506.8728022070495,-187.21318661752298,-187.21318661752298,-187.21318661752298,-22.276107390953303,-22.276107390953303,-22.276107390953303,-164.93707922656964,-164.93707922656964,-164.93707922656964,0.0,0.0,0.0,3319.6596155895268,3322.7000
2025-06-09,3518.5741405031767,3196.929222330125,3479.4883174161323,3518.5741405031767,3518.5741405031767,-183.08345348223676,-183.08345348223676,-183.08345348223676,-13.770204956027497,-13.770204956027497,-13.770204956027497,-169.31324852620924,-169.31324852620924,-169.31324852620924,0.0,0.0,0.0,3335.49068702094,3332.1001
2025-06-10,3522.474586601886,3188.7327261480414,3499.3096933605757,3522.474586601886,3522.474586601886,-183.4223025423492,-183.4223025423492,-183.4223025423492,-13.75223876870529,-13.75223876870529,-13.75223876870529,-169.67006377364393,-169.67006377364393,-169.67006377364393,0.0,0.0,0.0,3339.0522840595368,3320.8999
2025-06-11,3526.375032700595,3208.4252130843415,3505.5360937910073,3526.375032700595,3526.375032700595,-172.6576809291086,-172.6576809291086,-172.6576809291086,-3.080197151906681,-3.080197151906681,-3.080197151906681,-169.5774837772019,-169.5774837772019,-169.5774837772019,0.0,0.0,0.0,3353.7173517714864,3321.3000
2025-06-12,3530.2754787993044,3177.1516697162665,3482.9648565325965,3530.2754787993044,3530.2754787993044,-192.63812149720138,-192.63812149720138,-192.63812149720138,-23.503293977178277,-23.503293977178277,-23.503293977178277,-169.1348275200231,-169.1348275200231,-169.1348275200231,0.0,0.0,0.0,3337.637357302103,3380.8999
2025-06-13,3534.1759248980134,3191.421341378948,3488.1196267323085,3534.1759248980134,3534.1759248980134,-190.7385838453416,-190.7385838453416,-190.7385838453416,-22.276107390918046,-22.276107390918046,-22.276107390918046,-168.46247645442355,-168.46247645442355,-168.46247645442355,0.0,0.0,0.0,3343.437341052672,3431.2000
